GEOID,happening,human
16045,63.022,46.667
16047,61.552,45.177
16049,62.021,44.117
16051,57.727,40.691
16053,60.358,45.512
16055,62.381,45.626
16057,74.981,57.036
16059,63.002,45.228
16061,63.298,45.283
16063,66.715,51.002
16065,61.241,42.452
16067,58.676,43.612
16069,63.977,47.282
16071,54.939,38.919
16073,62.355,45.576
16075,61.477,44.069
16077,62.373,47.522
16079,67.254,50.565
16081,68.637,50.469
16083,61.301,44.882
16085,67.531,49.095
16087,63.329,46.574
17001,62.861,46.801
17003,68.349,50.948
17005,62.581,46.396
17007,66.233,50.532
17009,62.894,47.959
17011,64.427,48.214
17013,65.578,49.403
17015,67.708,51.004
17017,66.984,50.868
17019,74.893,57.238
17021,57.979,44.226
17023,60.489,44.321
17025,57.157,42.02
17027,62.95,46.12
17029,67.187,49.595
17031,79.17,62.881
17033,58.662,43.852
17035,60.701,44.054
17037,69.833,52.531
17039,61.7,45.838
17041,62.62,45.524
17043,74.712,54.537
17045,60.212,44.611
17047,56.557,40.894
17049,58.745,43.217
17051,60.792,44.585
17053,60.962,45.438
17055,62.9,46.954
17057,66.908,50.989
17059,61.272,45.753
17061,63.442,46.431
17063,64.51,49.073
17065,61.863,44.982
17067,63.344,46.566
17069,59.196,43.338
17071,64.802,48.506
17073,67.449,50.994
17075,59.805,43.78
17077,72.484,56.118
17079,54.133,40.405
17081,62.944,46.593
17083,61.909,46.696
17085,66.714,50.609
17087,57.06,41.583
17089,70.063,52.445
17091,68.137,51.136
17093,68.838,51.982
17095,69.304,52.956
17097,74.557,57.565
17099,67.164,47.628
17101,63.076,46.568
17103,64.272,47.713
17105,60.869,44.622
17107,61.823,45.053
17109,66.468,49.332
17111,65.873,47.064
17113,70.344,53.75
17115,63.28,48.352
17117,65.072,48.872
17119,64.718,48.835
17121,61.459,45.922
17123,67.495,51.704
17125,61.902,47.801
17127,56.261,42.792
17129,64.924,49.432
17131,64.195,48.276
17133,57.449,42.969
17135,61.347,46.583
17137,66.651,50.649
17139,61.647,45.434
17141,64.481,47.544
17143,67.192,51.095
17145,63.189,46.987
17147,62.507,45.462
17149,61.309,45.465
17151,61.448,44.455
17153,64.378,46.133
17155,63.323,48.095
17157,60.69,45.108
17159,62.23,46.016
17161,68.662,52.655
17163,71.474,52.546
17165,61.785,45.212
17167,67.205,48.069
17169,65.487,48.826
17171,61.445,45.58
17173,60.573,44.119
17175,64.5,47.135
17177,67.874,51.081
17179,62.882,46.874
17181,64.066,47.433
17183,66.655,49.806
17185,52.388,39.609
17187,68.939,51.911
17189,60.548,43.962
17191,55.979,41.063
17193,60.056,44.216
17195,68.595,51.769
17197,68.548,53.183
17199,64.424,48.586
17201,67.54,51.085
17203,60.612,44.095
18001,61.83,46.093
18003,64.41,47.693
18005,64.197,47.734
18007,62.035,46.243
18009,62.32,46.502
18011,60.38,45.485
18013,66.333,49.86
18015,61.777,45.218
18017,62.674,46.472
18019,66.171,48.778
18021,60.18,45.182
18023,62.772,46.927
18025,62.924,47.207
18027,58.028,43.193
18029,57.859,42.596
18031,59.992,44.093
18033,61.029,45.647
18035,67.012,51.058
18037,61.755,46.209
18039,66.271,48.318
18041,62.576,47.15
18043,63.836,46.86
18045,60.655,45.727
18047,58.96,43.729
18049,61.149,45.635
18051,53.412,40.824
18053,66.398,46.533
18055,60.27,44.534
18057,63.778,48.42
18059,59.981,44.217
18061,59.098,45.641
18063,63.02,45.528
18065,61.21,45.684
18067,62.811,47.868
18069,60.446,44.253
18071,62.049,45.816
18073,56.953,43.744
18075,63.894,47.517
18077,60.495,46.047
18079,63.633,48.625
18081,59.739,44.744
18083,59.008,44.598
18085,59.588,44.181
18087,65.965,48.487
18089,70.318,53.653
18091,68.559,51.411
18093,60.451,46.147
18095,65.415,49.031
18097,70.361,55.925
18099,64.216,46.305
18101,57.425,42.208
18103,61.392,47.388
18105,74.639,59.697
18107,60.696,45.102
18109,59.975,44.761
18111,61.679,45.881
18113,60.561,45.46
18115,51.721,39.468
18117,61.937,45.936
18119,63.359,48.458
18121,60.373,43.757
18123,64.049,48.562
18125,54.381,41.373
18127,66.874,50.372
18129,58.561,43.393
18131,62.584,46.323
18133,61.555,45.19
18135,62.592,46.925
18137,59.476,44.65
18139,60.522,44.641
18141,67.308,50.776
18143,65.952,51.175
18145,63.036,46.957
18147,55.458,41.816
18149,62.898,46.681
18151,61.12,45.543
18153,55.454,42.595
